geracao;minFitness;maxFitness;avgFitness;time
1018;172;556;256;0.584728
1019;172;543;252;0.585290
1020;172;570;262;0.585871
1021;172;530;259;0.586441
1022;172;535;264;0.587010
1023;172;571;255;0.587586
1024;172;549;260;0.588160
1025;172;553;271;0.588744
1026;172;548;261;0.589332
1027;172;544;259;0.589905
1028;172;543;258;0.590473
1029;172;533;258;0.591055
1030;172;539;259;0.591633
1031;172;540;265;0.592218
1032;172;565;264;0.592806
1033;172;536;260;0.593385
1034;172;551;254;0.593965
1035;172;542;259;0.594538
1036;172;578;256;0.595113
1037;172;537;255;0.595680
1038;172;558;264;0.596262
1039;172;538;252;0.596829
1040;172;553;252;0.597398
1041;172;581;268;0.597983
1042;172;551;258;0.598566
1043;172;548;271;0.599160
1044;172;561;260;0.599753
1045;172;541;261;0.600340
1046;172;570;264;0.600929
1047;171;567;256;0.601506
1048;171;535;259;0.602090
1049;171;557;255;0.602665
1050;171;574;264;0.603247
1051;171;532;260;0.603826
1052;171;542;260;0.604402
1053;171;553;255;0.604973
1054;171;544;263;0.605555
1055;171;586;258;0.606126
1056;171;552;258;0.606700
1057;171;523;254;0.607282
1058;171;560;258;0.607849
1059;171;549;257;0.608423
1060;171;556;254;0.608992
1061;171;545;261;0.609568
1062;171;551;252;0.610136
1063;171;538;262;0.610707
